,year,region_x,indicator,value,x_x,y_x,region_y,driving_licenses,x_y,y_y
54,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Najran,2153,,
55,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Makkah,136055,,
56,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Madinah,24540,,
57,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Al-Qaseem,9180,,
58,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Hail,54507,,
59,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Eastern,142307,,
60,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Assir,41367,,
61,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Jazan,11504,,
62,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Riyadh,242851,,
63,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Al-Jouf,9371,,
64,2016,Hail,No. of Accidents,10199,27.400845724, 41.4406960508,Tabouk,13610,,
65,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Al-Baha,4614,27.400845724, 41.4406960508
66,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Northern Boarder,4958,,
67,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Najran,2153,,
68,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Makkah,136055,,
69,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Madinah,24540,,
70,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Al-Qaseem,9180,,
71,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Hail,54507,,
72,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Eastern,142307,,
73,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Assir,41367,,
74,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Jazan,11504,,
75,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Riyadh,242851,,
76,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Al-Jouf,9371,,
77,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783, 41.8171186952,Tabouk,13610,,
78,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Al-Baha,4614,27.400845724, 41.4406960508
79,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Northern Boarder,4958,,
80,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783, 41.8171186952,Najran,2153,,
